K	3.5318476105	4.3729531702	0.3628502299	2.7348543945	4.3497428677	1.933590722	0.0	0.0	1.9307644739	3.9937479604	0.0	0.0	4.0646520136	4.1001085244	3.446608894	2.2742895318	3.8023058554	1.2008907743	3.2107328689	3.6587631648	4.2520601158	3.2358612803	2.3860802298	2.4693407193	4.1459009039	2.8439622727	2.3400254868	3.0103558103	4.2068231368	2.2454694488	3.9597521021	4.1041420125	0.0	1.4129247382	3.0407538688	4.1100683543	3.5064690742	0.0	0.9325228336	0.7631245562	4.4823813334	1.9139278115	3.5233995494	0.8468841398	2.8529009228	2.2927366326	3.0742875252	1.9498596776	4.4834570346	2.6340354273	2.1001719188	0.0	0.0	1.936384989	2.2356602003	2.0392443948	2.7884615333	3.3332118808	0.0	4.0942712401	3.9912970093	1.1729029891	1.0034889793	3.0290425835	1.9888562204	3.1939354352	4.1988666422	4.1031495371	1.8866635287	3.834391695	3.7297313351	3.4872630569	0.0	0.0	1.3818340578	0.0	0.7638132306	2.0066486439	3.7043893213	4.4090748	4.3435747187	4.1161621598	1.8761892399	4.3997314646	4.3669355265	1.8955953623	1.1118956475	0.9995952747	3.2951271271	1.9426751408	1.7664860864	3.6840533806	0.7132650919	3.621146067	4.1733480091	0.0	0.0	4.0228372863	1.9973657303	2.3454487548
L	2.1578258892	1.7968489086	0.0	1.6497067635	0.0	2.145093879	1.4810620857	0.0	1.6643844346	1.9595183048	2.0698871815	2.0701140352	1.9263595885	0.0	0.0	0.0	1.8333884334	0.5217974725	1.1559796569	2.3741495497	1.9791994373	1.7412012693	4.4997183772	0.0	2.3743365995	0.0	0.7560969018	2.1814249965	2.4304728051	0.8999435168	1.9310270862	2.0433153221	2.2574273545	0.4270578722	0.0	2.0548991998	1.9549334589	1.4151522319	1.0719869979	1.9555435118	2.2388098998	0.0	2.3595167198	0.7898001486	2.1046424859	2.7601237363	1.5288875708	1.5615997242	1.9095389943	0.0	2.7847532856	0.2080005992	0.0	1.3193337689	2.3396469632	0.0	3.2174870939	1.9646449869	0.7984163904	2.3463065509	2.5949514205	3.7203821838	1.3903514157	2.2557699426	0.0	2.2078679144	2.3236394208	0.8088750746	1.7591217649	2.4846756736	2.1404864421	2.017908669	2.6569040594	1.8719321095	3.0967637451	1.4972925455	0.48769928	1.9721934735	1.3084133524	2.6559427235	1.9787824922	2.6601719734	3.520304848	2.1003877292	2.155496817	1.4775263971	2.9469985309	1.6560186615	2.0870774	2.3454847475	0.7619418125	1.4399536181	2.1399339306	1.5789807457	1.7881220081	2.1922838481	2.1868373874	2.1587556715	2.0733456568	2.1965528728
M	4.9494486975	3.7749989978	1.0637526529	3.9786339567	3.9495320083	3.7776096739	3.4263129169	4.0078856702	2.9308830911	3.6798560911	3.8665702977	0.6996129765	3.8154580595	3.8466035201	3.8070604588	4.0803908954	3.6819321666	1.3016100001	3.3400777686	4.1406951848	3.4761686474	3.8756692149	3.2601970099	3.5806779787	3.7299286182	3.9614991442	2.2191377763	2.9232407671	3.9894164753	1.9261931851	4.0242274346	3.2091982184	1.9838242891	1.6947589824	4.2293044042	3.5400224771	4.6870990208	1.0932019536	2.6280381258	0.9231487351	3.9837117732	4.037497474	3.9232215128	1.7500694868	2.8753640018	2.1652702041	4.9905707025	3.6597516099	3.7805183777	4.0627119793	2.5019302356	0.0127836579	3.7829105212	2.3925576923	3.1678566237	3.8849973203	3.694438165	5.1074259995	0.744655663	3.7764720065	4.767721145	1.7014332774	2.5029599567	4.161376772	3.6989262082	4.1568172809	5.1090487578	4.3355072454	2.7787601311	4.140940878	3.1035645491	3.2439828798	3.8113707867	4.1887254516	2.1035238121	0.6840293844	1.8632599394	2.4514495845	3.7413361332	3.5059781283	3.4176267834	3.2742557977	3.2845123798	3.5065357408	3.4631207606	3.6754786124	2.5158955753	2.3732379798	2.8014596962	1.7028338035	2.7467414019	3.6414974307	0.8347568994	2.9044283984	3.7271552495	3.9088722948	3.8481059726	3.7722778276	3.2607865446	3.2690310705
N	3.5845640047	3.4807726608	0.7411265133	4.4820418358	4.5059671744	3.5530048289	3.3291335898	4.1230340351	3.3892639922	4.4681604155	3.6977520068	0.0237578946	4.7309043643	2.3241585258	4.4164539478	4.1819716827	3.098210963	1.055674904	3.9901674145	2.7157231046	1.3978761138	4.14590173	4.2552605709	4.6557705498	3.6217528293	4.1592728948	2.9462731887	0.1549610043	4.2065926739	2.2776078599	3.6109114426	3.1938949587	0.0	1.0091233641	4.5282773571	4.3541689254	1.8019101674	0.0927535338	2.6749538639	1.234357892	4.4350580514	4.5428228671	4.341021358	2.3796160909	3.3464257935	0.8937556444	3.4205856555	3.6138035402	3.2469781697	4.4739129367	1.6791041202	0.0358550338	4.3955103917	2.6366144273	4.0465139337	4.3711368277	3.4698332569	3.2963706183	0.0	3.2970937411	3.1390045331	2.6027120023	3.0080522606	4.2689603969	4.3525912632	4.5088938935	2.042694091	3.0569919211	3.368028306	4.0064196668	3.4077089505	3.5043382258	4.2557167995	4.0837666962	1.3822641554	0.4685114403	1.4470188466	3.1192025281	4.2212177984	2.9223123961	3.5436352167	2.5902306386	2.346468193	3.7277665305	4.2178356618	3.5096018971	1.6894607404	3.0529893614	0.701585524	1.269925889	1.5165782546	4.1331635684	0.2079297315	3.4207174771	3.8934637525	4.4339017761	4.343635412	4.1501559664	3.8374419891	2.0441000256
O	1.6447407035	1.0875799597	0.0	0.0	0.0	0.0	0.0	0.0	0.0275656755	0.2586448814	0.0	0.0	0.2325907322	0.0	0.0	0.0	1.2849931379	0.1391569468	0.0	0.0	1.108139536	0.0	0.5916666739	0.0	0.0	0.0	0.1260230319	0.0	1.0162413039	0.7343745246	0.619370524	0.0	0.0	0.0876551271	0.0	0.0722155989	0.9769419859	0.0619449128	0.0306592604	0.1275820948	0.6510495918	0.0	0.3207240181	0.0756318931	1.1536035492	0.6526815949	1.5728419535	0.0	0.7768062946	0.0	1.5339388572	0.0	0.0	0.0415724255	0.7347657731	0.0	0.1669289757	2.578128203	0.0	0.0	0.9299120461	0.1943298301	0.0203944514	0.0	0.0	0.0	0.5830331811	5.4059240063	0.1760663852	0.0	0.0	0.2842441929	0.0	0.0	0.0	0.0	0.1906984123	0.3458045461	0.0	0.0	0.0	0.0	0.2815418857	0.7536152966	0.0315843171	0.0	0.4333471832	0.065367066	1.1160984667	0.1698277315	0.0	0.0	0.0	0.0228844492	0.5473090654	0.0	0.0	0.0	0.9223016033	1.0357137495
P	3.286923659	3.0166226812	0.360521708	0.0	2.8571918756	1.5525484099	1.9936517934	0.0	1.4886584521	2.1916497262	0.0	0.0	2.2294488718	3.944981847	2.9706673926	0.0	3.3592408052	0.5576287086	1.2151616824	3.1904515707	0.0	1.3616429451	1.446194524	2.6339012658	3.2835400616	0.0	0.8447977643	0.0	2.611080091	0.0	2.5348145222	3.0025459925	0.0	1.0616235264	2.3061061998	2.6324936859	2.0209429273	0.0	1.422796476	0.4895108663	2.9285214743	0.0	2.5996505474	0.5904394936	2.5312399223	0.0	3.5101553935	0.0	3.8058291068	0.0	1.3702904667	0.0	2.424482587	1.2369825694	2.303151202	0.0	2.1981889107	3.6689698816	0.0	3.3307724868	3.1969683962	0.8854490892	1.2778869367	0.0	0.0	3.2880479644	2.9492139447	2.3356107342	1.3723015146	3.2543410455	2.6223183593	1.5534549608	0.0	0.0	0.86955557	0.0	0.7561855403	0.0	2.9976393822	3.4764694716	2.6668476545	3.1959290467	1.6186700258	2.2032951493	2.5526911078	0.0	0.8028712907	1.1507667584	0.1445564212	1.6373595007	0.2184113864	1.5057176708	0.0	1.1901650726	2.8072643915	0.0	2.0410879052	2.2649366246	2.6856269313	0.8912553828
Q	5.7390624851	4.9230352569	1.1793917623	4.6483347379	4.7877284486	4.6895999481	4.2374055149	4.5388591406	3.3144215217	4.6500671111	4.5161891589	0.0	4.4335808468	6.0178875069	5.2882133828	5.0271477018	4.6202240826	1.150701975	6.0290648276	4.8591684531	0.0	4.5019681785	3.8252149699	5.0328997918	4.9220734833	4.3622228063	3.0395748145	0.0	4.7543061576	2.0374187726	4.426801127	4.9614397796	0.0	2.0517615074	4.8085078499	4.7037860565	4.8112835064	0.0	3.0244393154	3.2685010212	4.6717957291	4.5101459992	4.8475034352	2.3501381531	4.753770979	0.0	5.8567419705	4.4790411783	5.3021124881	4.2791022998	4.3918941584	0.041395218	4.6605029457	2.9350702492	5.1240044644	4.8694533787	4.4664896337	5.632900627	0.0	4.8438151593	4.4018524849	3.2082023677	2.9875642976	5.0795696103	4.7302471257	5.8087732429	4.0555251264	4.3840510821	3.5602291442	4.9814523389	4.4768835659	4.4416732034	4.8667210864	4.3670443307	2.2696913626	0.0	1.7874377776	4.7701573074	4.9379187885	5.2776042777	4.9971946286	4.9205239091	4.0663430085	4.7074178106	4.7367847375	4.1124017963	2.7637753756	3.2514236768	2.2501100107	3.7536894236	3.0640208715	4.6043778494	0.0	4.019745397	4.8884973677	4.7829411021	4.8871209888	4.8794121983	4.3324581016	3.2248240179
R	4.2528055457	3.7420065568	0.5529014972	3.8464819547	3.6462952437	4.2634524995	4.0579282881	4.0933039103	3.0708944136	3.6720352474	2.2388449151	3.3810390314	3.3538334427	0.0	3.3151666094	3.8381009635	3.1535831362	0.7293073069	0.0	3.0434183596	0.0	2.8559713446	2.7436041429	3.3462001272	2.5319939886	2.8932789835	2.2522108811	0.0	3.2513735083	1.4346699454	3.3686423225	3.77597174	4.0335727017	0.7975299549	3.0876135137	3.7605396167	3.3771632711	3.2265693038	2.1845833966	0.8879186311	0.0	3.6047829582	2.6279064548	1.8297549851	3.1329912155	4.6441345518	3.6449855124	2.466196639	2.8199806525	3.1001403845	1.8794124133	1.4955762986	4.1304667882	2.1158773218	3.7388600965	4.8342745757	1.5719162523	3.727088124	2.6785446178	3.5422369287	3.3580557009	1.9295767606	2.2750617148	3.1507866158	4.0910394985	2.306429069	1.6502788915	4.0750199172	2.9150264774	4.0495413012	3.4032969639	3.0357259316	4.2914695047	3.7152253469	2.9053114161	4.2845796043	1.1655425161	4.9847391498	3.2779800551	3.9198302866	3.7192370095	3.6160555836	1.0231156859	3.7103044414	3.5678790323	4.0178151852	3.4917545363	2.3051403155	1.5130569301	0.2887277352	1.7545936055	4.0004492365	5.2265621278	3.2286875756	3.774385275	4.9024643296	4.5438790546	3.6055204882	3.3498535314	1.5958336695
S	1.2712112846	2.7252165553	0.3630241243	1.2644202213	2.3965826196	0.7964632194	0.643048089	1.128013066	2.1105237136	1.8154839112	0.9602756373	0.0804624056	2.2914149208	3.3996004223	2.2043797984	1.0107497901	2.7665496173	0.5621386518	1.6921076015	2.8648543453	0.5241606278	2.4382915427	2.206843586	2.1969170872	2.7047115704	1.0128318444	1.4797439212	0.1535332928	2.5872817331	0.8451098214	2.9082387048	2.1843160584	0.0564243077	0.8367001975	1.7181849851	2.5653810727	2.7104761169	0.0816539853	0.9512794572	0.4482383497	2.608164671	1.399237239	2.6621199251	0.6421816436	1.1160893684	0.0188993413	1.6756517704	0.7190396637	2.8892263396	1.5544859544	2.1951301227	0.0572297697	1.5192101703	0.6483699459	0.8738224821	1.7462972525	2.5249302	1.3232440052	0.0670475256	2.0470458795	1.912018932	0.8254405372	1.0175935209	1.36556726	1.5511952869	2.34895941	1.6255329667	3.4727535573	1.6380666313	2.5613068725	1.7163057736	1.6949681753	1.3501849906	1.6364379624	0.767667767	0.1719992862	0.5566917396	1.1414692089	2.8122526111	2.7000493028	2.1918028102	2.6692754958	1.730464654	2.4811634725	2.8436378698	0.6664178537	1.0672258888	1.0150964912	0.9521754926	1.9301276636	2.0101903814	2.2185043475	0.3128643397	1.294774475	2.3361941963	1.469258915	1.4824631962	2.6781197391	1.6213728867	1.8568601527
T	6.8122609999	7.2153718392	1.4068614884	5.3166170853	7.1436345416	2.553556318	2.6785808614	6.4817632066	3.9383505298	2.7364051426	2.8821815251	0.0502054406	2.084985747	6.8360954345	3.0118909316	3.1446470024	5.5669375456	3.9982109661	4.7987770554	9.0769903578	5.2952818664	3.9045517768	2.4613918812	2.2687675642	7.5467086087	2.7995193516	2.2738808558	5.250854147	6.6310181539	0.7458376303	6.328461809	7.1636300208	0.6589490541	2.9182648637	5.4485031882	4.7113098032	5.4692352091	0.401504638	6.6519224539	3.6378475985	7.3389176812	6.54721422	3.3298828426	1.5503139591	3.2852023937	0.2669047594	8.2411834282	2.8520986358	5.9023615092	6.5190000521	4.2567397794	0.0165910421	6.4656916337	3.333336187	4.5836164771	6.4864643562	2.7035411692	8.6070720714	0.0	0.8428416616	7.518422125	7.0028867755	6.942340364	4.6910495433	6.4901974845	2.1597388399	10.0517894817	3.4595073518	2.5050700519	7.9296916774	1.665898737	4.24693422	5.3638549604	2.2982552134	3.2275365498	0.6520708526	2.4077779295	1.1685916894	6.6466667677	7.6371328846	6.6609223523	7.3793796064	4.4058796837	6.9603667672	3.4504525094	3.0017490402	3.6464191882	7.4844265864	4.3750090081	5.1657565406	1.9964509468	6.2565603747	0.0	1.6362190915	7.0541516174	6.5187262055	6.5893854865	7.1433345285	1.7849033048	3.6824492629
